Team,Conference,GM,W-L,W,L,APG,BLKS,Fouls,FGM,FGA,FG%,OPP FG,OPP FGA,OPP FG%,FT,FTA,FT%,PFPG,DQ,OPP REB,REB MAR,OPP PTS,SCR MAR,PTS,PPG,ST,Opp 3FGA,Opp 3FG,3FG,3FGA,3FG%,AST,ORebs,DRebs,REB,Opp TO,TO
VCU (Atlantic 10),Atlantic 10,32,22-10,22,10,13.9,162,599,795,"1,723",46.1,679,"1,722",39.4,375,533,70.4,18.7,15,"1,102",-1.9,"1,997",4.7,"2,146",67.1,294,618,172,181,521,34.7,446,268,772,"1,040",544,483
Vermont (America East),America East,34,28-6,28,6,15.1,84,475,936,"1,902",49.2,765,"1,865",41,374,504,74.2,14,1,990,5.9,"2,065",14.1,"2,544",74.8,173,702,241,298,817,36.5,515,248,942,"1,190",379,326
Villanova (Big East),Big East,38,30-8,30,8,11.9,84,566,922,"2,133",43.2,861,"2,111",40.8,527,635,83,14.9,9,"1,243",2.1,"2,383",9,"2,726",71.7,229,891,274,355,988,35.9,451,392,931,"1,323",447,376
Virginia (ACC),ACC,35,21-14,21,14,14.1,149,480,817,"1,820",44.9,783,"1,842",42.5,374,512,73,13.7,7,"1,101",-0.1,"2,104",2.3,"2,184",62.4,200,691,232,176,545,32.3,493,300,797,"1,097",385,339
Virginia Tech (ACC),ACC,36,23-13,23,13,14.3,114,535,933,"1,981",47.1,831,"1,933",43,364,485,75.1,14.9,3,"1,091",1.7,"2,261",8,"2,549",70.8,192,713,230,319,814,39.2,515,305,847,"1,152",429,391
VMI (SoCon),SoCon,32,16-16,16,16,16,87,477,876,"1,908",45.9,843,"2,033",41.5,377,476,79.2,14.9,8,"1,170",-0.2,"2,375",4.8,"2,529",79,154,947,319,400,"1,050",38.1,511,265,900,"1,165",329,371
Wagner (NEC),NEC,27,21-6,21,6,14.6,76,535,747,"1,613",46.3,600,"1,438",41.7,378,521,72.6,19.8,11,871,5,"1,747",9.7,"2,010",74.4,226,568,168,138,484,28.5,393,320,686,"1,006",419,338
Wake Forest (ACC),ACC,35,25-10,25,10,15.1,136,559,978,"2,026",48.3,880,"2,131",41.3,497,681,73,16,10,"1,182",3,"2,452",8.5,"2,749",78.5,227,784,252,296,860,34.4,527,305,981,"1,286",446,488
Washington (Pac-12),Pac-12,32,17-15,17,15,10.2,132,532,796,"1,929",41.3,842,"1,903",44.2,470,670,70.1,16.6,22,"1,243",-5.4,"2,314",-1.7,"2,260",70.6,265,648,217,198,634,31.2,326,352,717,"1,069",503,381
Washington St. (Pac-12),Pac-12,37,22-15,22,15,11.2,165,644,908,"2,239",40.6,859,"2,068",41.5,497,668,74.4,17.4,10,"1,305",1.9,"2,400",6.6,"2,644",71.5,237,722,221,331,989,33.5,416,461,913,"1,374",512,416
Weber St. (Big Sky),Big Sky,33,21-12,21,12,10.6,83,507,878,"1,847",47.5,844,"1,919",44,521,696,74.9,15.4,11,"1,104",-1.3,"2,319",5.9,"2,513",76.2,253,756,278,236,696,33.9,351,218,842,"1,060",482,384
West Virginia (Big 12),Big 12,33,16-17,16,17,10.5,150,575,779,"1,885",41.3,809,"1,814",44.6,493,681,72.4,17.4,9,"1,191",-3.8,"2,276",-0.5,"2,259",68.5,257,669,217,208,635,32.8,346,355,709,"1,064",508,411
Western Caro. (SoCon),SoCon,32,11-21,11,21,12.9,76,544,787,"1,960",40.2,871,"1,960",44.4,367,545,67.3,17,8,"1,202",0,"2,472",-6.6,"2,261",70.7,156,885,316,320,"1,002",31.9,412,374,829,"1,203",326,397
Western Ill. (Summit League),Summit League,32,16-16,16,16,11.4,81,558,889,"2,048",43.4,890,"1,920",46.4,438,619,70.8,17.4,16,"1,134",2.7,"2,470",0.7,"2,493",77.9,199,636,237,277,837,33.1,364,369,852,"1,221",399,367
