Team,Conference,GM,W-L,W,L,APG,BLKS,Fouls,FGM,FGA,FG%,OPP FG,OPP FGA,OPP FG%,FT,FTA,FT%,PFPG,DQ,OPP REB,REB MAR,OPP PTS,SCR MAR,PTS,PPG,ST,Opp 3FGA,Opp 3FG,3FG,3FGA,3FG%,AST,ORebs,DRebs,REB,Opp TO,TO
California (Pac-12),Pac-12,32,12-20,12,20,10.7,83,529,756,"1,798",42,748,"1,778",42.1,331,455,72.7,16.5,8,"1,080",1.3,"2,114",-3,"2,018",63.1,156,624,193,175,569,30.8,342,279,843,"1,122",308,360
Campbell (Big South),Big South,29,16-13,16,13,13.9,66,401,721,"1,567",46,660,"1,546",42.7,293,431,68,13.8,4,934,-0.3,"1,798",4.2,"1,919",66.2,180,601,207,184,578,31.8,404,205,719,924,353,303
Canisius (MAAC),MAAC,32,11-21,11,21,13,83,550,777,"1,942",40,844,"1,836",46,402,580,69.3,17.2,6,"1,165",-1,"2,288",-3,"2,192",68.5,193,585,179,236,771,30.6,416,356,778,"1,134",415,378
Central Ark. (ASUN),ASUN,31,11-20,11,20,14.3,99,518,862,"1,960",44,923,"1,952",47.3,338,444,76.1,16.7,12,"1,161",-2,"2,515",-7.9,"2,269",73.2,211,718,248,207,689,30,444,313,786,"1,099",384,424
Central Conn. St. (NEC),NEC,32,8-24,8,24,10.6,70,515,690,"1,755",39.3,842,"1,828",46.1,362,511,70.8,16.1,7,"1,168",-4.6,"2,308",-10.3,"1,977",61.8,199,718,250,235,688,34.2,340,296,724,"1,020",404,441
Central Mich. (MAC),MAC,30,7-23,7,23,11.5,91,597,694,"1,696",40.9,802,"1,756",45.7,358,517,69.2,19.9,17,"1,140",-4.8,"2,309",-11,"1,978",65.9,189,744,259,232,680,34.1,345,276,719,995,345,407
Charleston So. (Big South),Big South,31,6-25,6,25,12,93,502,745,"1,830",40.7,854,"1,840",46.4,376,556,67.6,16.2,6,"1,121",0.2,"2,356",-7.5,"2,122",68.5,203,693,241,256,832,30.8,371,331,797,"1,128",390,456
Charlotte (C-USA),C-USA,31,17-14,17,14,14,90,436,781,"1,698",46,810,"1,758",46.1,376,475,79.2,14.1,5,"1,008",-1.3,"2,208",-1.2,"2,171",70,149,638,231,233,675,34.5,433,220,749,969,350,356
Chattanooga (SoCon),SoCon,35,27-8,27,8,12.8,75,547,956,"2,059",46.4,830,"1,965",42.2,408,547,74.6,15.6,16,"1,091",4.9,"2,253",9.8,"2,596",74.2,252,794,236,276,800,34.5,449,378,886,"1,264",429,384
Chicago St. (WAC),WAC,32,7-25,7,25,9.6,74,636,700,"1,800",38.9,817,"1,770",46.2,344,525,65.5,19.9,14,"1,151",-2.1,"2,380",-12.3,"1,987",62.1,179,645,254,243,786,30.9,308,376,707,"1,083",406,483
Cincinnati (AAC),AAC,33,18-15,18,15,13.1,127,577,812,"2,012",40.4,764,"1,897",40.3,398,595,66.9,17.5,13,"1,237",-0.3,"2,176",3.5,"2,291",69.4,208,582,182,269,853,31.5,433,380,846,"1,226",411,346
Clemson (ACC),ACC,33,17-16,17,16,14.2,77,521,851,"1,868",45.6,791,"1,858",42.6,409,556,73.6,15.8,5,"1,082",1.8,"2,259",3.3,"2,367",71.7,195,792,264,256,706,36.3,470,281,862,"1,143",375,364
Cleveland St. (Horizon),Horizon,31,20-11,20,11,16.5,105,566,853,"1,783",47.8,742,"1,762",42.1,433,645,67.1,18.3,9,"1,012",2.6,"2,168",5.4,"2,336",75.4,268,759,242,197,602,32.7,513,346,747,"1,093",478,420
Coastal Carolina (Sun Belt),Sun Belt,33,19-14,19,14,13.5,121,473,872,"1,937",45,772,"1,984",38.9,414,595,69.6,14.3,6,"1,125",5.8,"2,156",7.5,"2,404",72.8,224,905,273,246,692,35.5,445,400,918,"1,318",406,437
Col. of Charleston (CAA),CAA,32,17-15,17,15,13.2,88,658,895,"2,039",43.9,853,"1,886",45.2,452,619,73,20.6,16,"1,070",6.9,"2,446",1.8,"2,502",78.2,255,665,227,260,766,33.9,422,440,851,"1,291",458,501
Colgate (Patriot),Patriot,35,23-12,23,12,17.1,126,507,964,"2,035",47.4,883,"2,077",42.5,371,532,69.7,14.5,1,"1,174",2.6,"2,349",8.5,"2,646",75.6,214,729,244,347,859,40.4,598,311,955,"1,266",380,396
Colorado (Pac-12),Pac-12,33,21-12,21,12,13.4,105,516,817,"1,847",44.2,807,"1,921",42,484,640,75.6,15.6,3,"1,057",5,"2,224",3.7,"2,345",71.1,181,708,234,227,620,36.6,441,329,894,"1,223",398,447
Colorado St. (Mountain West),Mountain West,31,25-6,25,6,14.3,95,467,821,"1,710",48,743,"1,728",43,392,507,77.3,15.1,5,991,-0.3,"2,047",7.4,"2,275",73.4,198,754,247,241,675,35.7,442,208,774,982,385,313
Columbia (Ivy League),Ivy League,26,4-22,4,22,12,53,434,651,"1,531",42.5,747,"1,607",46.5,252,402,62.7,16.7,2,953,-1.4,"2,049",-11.4,"1,752",67.4,154,686,258,198,556,35.6,313,264,653,917,310,396
Coppin St. (MEAC),MEAC,32,9-23,9,23,11,96,539,715,"1,851",38.6,846,"2,017",41.9,438,640,68.4,16.8,8,"1,392",-9.3,"2,390",-7.8,"2,142",66.9,258,838,295,274,924,29.7,353,250,844,"1,094",481,461
Cornell (Ivy League),Ivy League,26,15-11,15,11,17.3,76,486,735,"1,576",46.6,696,"1,617",43,338,478,70.7,18.7,7,935,1.9,"1,941",4.5,"2,059",79.2,205,701,225,251,722,34.8,450,258,727,985,357,369
Creighton (Big East),Big East,35,23-12,23,12,13.3,149,476,896,"2,002",44.8,878,"2,215",39.6,395,535,73.8,13.6,6,"1,249",2.5,"2,324",2.8,"2,422",69.2,192,736,233,235,763,30.8,466,336,999,"1,335",373,492
CSU Bakersfield (Big West),Big West,27,8-19,8,19,9.9,59,559,647,"1,540",42,575,"1,306",44,333,470,70.9,20.7,9,847,3.1,"1,798",-2.6,"1,729",64,160,541,190,102,359,28.4,268,317,614,931,368,316
CSUN (Big West),Big West,30,7-23,7,23,9.2,76,560,678,"1,684",40.3,746,"1,652",45.2,337,494,68.2,18.7,13,"1,116",-5.5,"2,137",-9.7,"1,847",61.6,216,634,211,154,508,30.3,275,295,657,952,395,367
Dartmouth (Ivy League),Ivy League,25,9-16,9,16,10.4,84,403,608,"1,459",41.7,621,"1,395",44.5,271,351,77.2,16.1,5,891,-2.5,"1,705",0.2,"1,709",68.4,166,524,185,222,655,33.9,261,211,617,828,329,287
Davidson (Atlantic 10),Atlantic 10,34,27-7,27,7,14.6,88,504,908,"1,887",48.1,792,"1,890",41.9,450,597,75.4,14.8,5,"1,059",3.1,"2,244",9.5,"2,567",75.5,157,823,275,301,778,38.7,498,252,912,"1,164",376,333
Dayton (Atlantic 10),Atlantic 10,35,24-11,24,11,14.4,135,488,901,"1,883",47.8,790,"1,934",40.8,392,574,68.3,13.9,3,"1,029",5.8,"2,143",8,"2,423",69.2,194,719,233,229,635,36.1,504,322,910,"1,232",387,433
Delaware (CAA),CAA,35,22-13,22,13,12.6,129,547,909,"1,940",46.9,879,"2,045",43,489,657,74.4,15.6,14,"1,174",-1,"2,456",3.2,"2,568",73.4,233,730,258,261,752,34.7,440,300,838,"1,138",443,440
Delaware St. (MEAC),MEAC,28,2-26,2,26,9.7,112,504,633,"1,567",40.4,700,"1,678",41.7,322,479,67.2,18,16,"1,087",-3.6,"2,058",-10.8,"1,757",62.8,203,769,271,169,520,32.5,271,279,708,987,398,489
Denver (Summit League),Summit League,32,11-21,11,21,12.4,107,557,816,"1,773",46,838,"1,871",44.8,393,564,69.7,17.4,12,"1,100",-2.2,"2,380",-3.8,"2,257",70.5,167,746,265,232,631,36.8,397,243,788,"1,031",373,413
DePaul (Big East),Big East,31,15-16,15,16,11.4,155,488,816,"1,883",43.3,819,"1,912",42.8,436,629,69.3,15.7,8,"1,121",2.4,"2,238",1.1,"2,272",73.3,193,674,227,204,644,31.7,354,367,827,"1,194",367,381
Detroit Mercy (Horizon),Horizon,30,14-16,14,16,12.1,58,463,752,"1,715",43.8,766,"1,643",46.6,305,393,77.6,15.4,9,997,-1.6,"2,115",0.2,"2,122",70.7,176,671,235,313,837,37.4,363,278,670,948,378,348
Drake (MVC),MVC,36,25-11,25,11,11.9,115,611,979,"2,126",46,840,"1,956",42.9,449,595,75.5,17,10,"1,147",2.8,"2,391",7.5,"2,660",73.9,252,741,244,253,736,34.4,427,361,888,"1,249",476,389
Drexel (CAA),CAA,29,15-14,15,14,12.5,87,440,796,"1,718",46.3,771,"1,714",45,309,435,71,15.2,6,986,0.2,"2,038",2.6,"2,112",72.8,138,550,185,211,609,34.6,362,250,743,993,319,316
Duke (ACC),ACC,39,32-7,32,7,16.5,219,532,"1,158","2,357",49.1,"1,027","2,462",41.7,498,675,73.8,13.6,1,"1,322",4,"2,643",12.3,"3,122",80.1,249,826,265,308,841,36.6,642,410,"1,069","1,479",419,400
Duquesne (Atlantic 10),Atlantic 10,30,6-24,6,24,10,131,416,742,"1,842",40.3,849,"1,783",47.6,285,403,70.7,13.9,4,"1,137",-3.8,"2,202",-8.2,"1,956",65.2,199,570,227,187,614,30.5,300,342,681,"1,023",387,344
East Carolina (AAC),AAC,30,15-15,15,15,14.7,92,487,700,"1,724",40.6,751,"1,736",43.3,436,578,75.4,16.2,5,"1,087",-1,"2,128",-2.2,"2,061",68.7,203,712,251,225,676,33.3,442,300,756,"1,056",385,389
Eastern Ill. (OVC),OVC,31,5-26,5,26,11.8,93,451,623,"1,567",39.8,820,"1,803",45.5,315,494,63.8,14.5,8,"1,144",-7.3,"2,205",-14.8,"1,746",56.3,196,787,268,185,568,32.6,367,223,696,919,387,498
Eastern Ky. (ASUN),ASUN,31,13-18,13,18,15.7,113,513,887,"2,125",41.7,857,"1,845",46.4,320,453,70.6,16.5,8,"1,244",-4,"2,327",4.2,"2,457",79.3,316,721,246,363,"1,029",35.3,486,390,731,"1,121",540,359
Eastern Mich. (MAC),MAC,31,10-21,10,21,10.1,99,542,782,"1,816",43.1,859,"1,913",44.9,383,551,69.5,17.5,9,"1,185",-3.4,"2,356",-6.9,"2,143",69.1,181,690,245,196,636,30.8,314,263,816,"1,079",385,429
Eastern Wash. (Big Sky),Big Sky,34,18-16,18,16,15.7,93,634,905,"1,995",45.4,887,"2,071",42.8,500,664,75.3,18.6,14,"1,164",2.4,"2,536",2.2,"2,611",76.8,188,867,284,301,854,35.2,535,309,938,"1,247",391,451
Elon (CAA),CAA,32,10-22,10,22,12.5,78,651,766,"1,800",42.6,760,"1,754",43.3,342,464,73.7,20.3,17,"1,126",-2,"2,311",-5.1,"2,147",67.1,155,672,233,273,798,34.2,401,284,777,"1,061",352,417
ETSU (SoCon),SoCon,32,15-17,15,17,13.1,89,475,853,"1,921",44.4,847,"1,888",44.9,319,440,72.5,14.8,14,"1,113",0.1,"2,336",-0.9,"2,306",72.1,216,870,296,281,802,35,420,350,765,"1,115",362,360
Evansville (MVC),MVC,30,6-24,6,24,10.5,61,440,629,"1,581",39.8,784,"1,580",49.6,272,384,70.8,14.7,5,"1,042",-7.6,"2,122",-11.6,"1,775",59.2,178,535,204,245,743,33,316,143,670,813,349,335
Fairfield (MAAC),MAAC,33,15-18,15,18,11.9,101,526,820,"1,891",43.4,797,"1,866",42.7,348,494,70.4,15.9,6,"1,138",0.2,"2,177",1.9,"2,239",67.8,179,566,184,251,739,34,394,315,829,"1,144",373,366
Fairleigh Dickinson (NEC),NEC,26,4-22,4,22,11.8,77,475,632,"1,555",40.6,746,"1,565",47.7,306,432,70.8,18.3,10,"1,009",-5.6,"2,058",-11.9,"1,748",67.2,168,550,193,178,550,32.4,307,270,593,863,336,358
FGCU (ASUN),ASUN,34,22-12,22,12,15.7,164,504,944,"2,081",45.4,941,"2,153",43.7,406,601,67.6,14.8,4,"1,190",3.8,"2,505",4,"2,641",77.7,227,819,273,347,991,35,534,380,939,"1,319",393,458
FIU (C-USA),C-USA,32,15-17,15,17,13.8,128,494,813,"1,892",43,806,"1,884",42.8,330,470,70.2,15.4,5,"1,171",-1.6,"2,274",-0.3,"2,264",70.8,205,731,243,308,880,35,443,309,812,"1,121",424,447
Fla. Atlantic (C-USA),C-USA,34,19-15,19,15,13.4,97,575,907,"2,004",45.3,838,"1,889",44.4,406,570,71.2,16.9,8,"1,092",4.2,"2,315",6,"2,519",74.1,251,642,232,299,850,35.2,454,375,859,"1,234",468,436
Florida (SEC),SEC,34,20-14,20,14,12.8,171,542,825,"1,936",42.6,831,"1,885",44.1,481,654,73.5,15.9,5,"1,189",-1.3,"2,261",4.1,"2,400",70.6,284,621,200,269,887,30.3,435,377,767,"1,144",498,423
Florida A&M (SWAC),SWAC,30,13-17,13,17,12,92,532,733,"1,704",43,713,"1,684",42.3,349,495,70.5,17.7,18,"1,116",-4.5,"2,064",-3.7,"1,952",65.1,188,597,207,137,453,30.2,360,270,711,981,386,375
Florida St. (ACC),ACC,31,17-14,17,14,14.4,151,506,799,"1,842",43.4,786,"1,769",44.4,395,558,70.8,16.3,1,"1,090",-0.3,"2,230",-0.9,"2,201",71,264,748,276,208,628,33.1,445,352,729,"1,081",448,387
Fordham (Atlantic 10),Atlantic 10,32,16-16,16,16,11.8,119,566,737,"1,870",39.4,780,"1,833",42.6,404,556,72.7,17.7,12,"1,185",-0.2,"2,137",-0.7,"2,115",66.1,234,633,198,237,799,29.7,379,327,852,"1,179",437,421
Fresno St. (Mountain West),Mountain West,36,23-13,23,13,12,101,554,855,"1,916",44.6,764,"1,866",40.9,424,596,71.1,15.4,6,"1,094",3.7,"2,139",6.8,"2,384",66.2,220,787,255,250,742,33.7,431,319,907,"1,226",448,402
Furman (SoCon),SoCon,34,22-12,22,12,17.4,119,496,945,"2,038",46.4,878,"1,941",45.2,349,461,75.7,14.6,6,"1,138",-0.3,"2,336",8.9,"2,640",77.6,281,711,236,401,"1,054",38,593,317,811,"1,128",442,358
Ga. Southern (Sun Belt),Sun Belt,29,13-16,13,16,12,100,509,714,"1,598",44.7,661,"1,613",41,329,484,68,17.6,10,980,0.9,"1,903",0.8,"1,927",66.4,216,627,205,170,559,30.4,347,284,721,"1,005",396,417
Gardner-Webb (Big South),Big South,31,18-13,18,13,13.2,147,567,784,"1,767",44.4,673,"1,728",38.9,356,508,70.1,18.3,8,"1,054",2.9,"1,989",5.3,"2,154",69.5,225,718,203,230,699,32.9,409,303,840,"1,143",406,416
George Mason (Atlantic 10),Atlantic 10,30,14-16,14,16,14.1,95,480,751,"1,685",44.6,720,"1,702",42.3,340,490,69.4,16,13,994,1.7,"2,056",2.2,"2,122",70.7,152,719,247,280,783,35.8,424,252,794,"1,046",350,367
George Washington (Atlantic 10),Atlantic 10,30,12-18,12,18,12.3,125,512,758,"1,769",42.8,805,"1,818",44.3,321,461,69.6,17.1,6,"1,161",-5.4,"2,185",-4.5,"2,051",68.4,207,628,193,214,634,33.8,368,250,750,"1,000",381,378
Georgetown (Big East),Big East,31,6-25,6,25,11.8,119,502,770,"1,924",40,862,"1,876",45.9,415,558,74.4,16.2,10,"1,151",0.1,"2,388",-6.3,"2,192",70.7,222,780,288,237,693,34.2,366,394,761,"1,155",397,414
Georgia (SEC),SEC,32,6-26,6,26,13.9,69,481,763,"1,725",44.2,942,"1,990",47.3,503,673,74.7,15,9,"1,116",-2.2,"2,512",-8.7,"2,234",69.8,167,817,285,205,638,32.1,444,272,774,"1,046",351,462
Georgia St. (Sun Belt),Sun Belt,29,18-11,18,11,13.5,130,466,722,"1,806",40,671,"1,609",41.7,384,533,72,16.1,11,"1,055",1,"1,906",4.9,"2,049",70.7,255,591,217,221,670,33,391,385,699,"1,084",471,339
Georgia Tech (ACC),ACC,32,12-20,12,20,13.7,82,576,823,"1,866",44.1,807,"1,850",43.6,321,460,69.8,18,18,"1,131",-1.3,"2,264",-2.2,"2,195",68.6,249,718,226,228,646,35.3,438,284,804,"1,088",422,419
Gonzaga (WCC),WCC,32,28-4,28,4,18.1,186,497,"1,045","2,004",52.1,789,"2,076",38,438,614,71.3,15.5,5,"1,067",8.5,"2,119",21,"2,790",87.2,205,691,211,262,708,37,578,309,"1,030","1,339",384,370
Grambling (SWAC),SWAC,32,12-20,12,20,10.9,107,585,749,"1,842",40.7,774,"1,839",42.1,431,607,71,18.3,7,"1,229",-2.6,"2,273",-5.7,"2,092",65.4,211,660,233,163,517,31.5,350,333,812,"1,145",444,455
Grand Canyon (WAC),WAC,31,23-8,23,8,12.8,69,551,784,"1,825",43,675,"1,756",38.4,383,564,67.9,17.8,12,"1,057",6.5,"1,898",9.9,"2,204",71.1,206,605,165,253,725,34.9,397,402,856,"1,258",403,404
Green Bay (Horizon),Horizon,30,5-25,5,25,10.7,83,462,668,"1,593",41.9,748,"1,598",46.8,360,504,71.4,15.4,5,963,-1.9,"2,068",-7.2,"1,852",61.7,150,553,191,156,553,28.2,322,272,633,905,355,388
Hampton (Big South),Big South,28,9-19,9,19,10.6,115,514,628,"1,573",39.9,692,"1,664",41.6,397,567,70,18.4,18,"1,114",-5.6,"1,946",-4.8,"1,813",64.8,147,563,162,160,548,29.2,298,235,723,958,343,355
Hartford (America East),America East,32,12-20,12,20,12.2,101,480,799,"1,778",44.9,832,"1,858",44.8,339,491,69,15,14,"1,110",-2.3,"2,309",-2.3,"2,234",69.8,193,712,254,297,804,36.9,390,248,789,"1,037",355,390
Harvard (Ivy League),Ivy League,26,13-13,13,13,11.3,64,409,676,"1,564",43.2,633,"1,435",44.1,285,411,69.3,15.7,6,911,-0.4,"1,797",2.3,"1,858",71.5,198,566,210,221,670,33,295,242,658,900,392,321
Hawaii (Big West),Big West,28,17-11,17,11,12.3,60,471,667,"1,514",44.1,652,"1,559",41.8,366,492,74.4,16.8,6,860,4.5,"1,796",4.7,"1,928",68.9,99,476,148,228,636,35.8,344,261,724,985,295,364
High Point (Big South),Big South,32,14-18,14,18,12.5,149,555,808,"1,829",44.2,803,"1,863",43.1,401,627,64,17.3,14,"1,162",-0.6,"2,232",-0.2,"2,225",69.5,207,688,203,208,621,33.5,400,323,819,"1,142",397,427
Hofstra (CAA),CAA,32,21-11,21,11,15.5,87,478,928,"2,004",46.3,851,"1,881",45.2,333,418,79.7,14.9,7,"1,142",-2.5,"2,333",5,"2,494",77.9,255,790,292,305,896,34,495,263,799,"1,062",470,330
Holy Cross (Patriot),Patriot,31,9-22,9,22,10.2,118,523,742,"1,793",41.4,814,"1,753",46.4,357,504,70.8,16.9,12,"1,096",-1.5,"2,192",-5.5,"2,022",65.2,184,567,202,181,527,34.3,315,317,733,"1,050",382,387
Houston (AAC),AAC,38,32-6,32,6,16.2,196,652,"1,054","2,267",46.5,744,"2,003",37.1,438,657,66.7,17.2,11,"1,216",7,"2,233",16.1,"2,844",74.8,305,855,246,298,881,33.8,617,506,976,"1,482",541,423
Houston Baptist (Southland),Southland,29,11-18,11,18,13.4,74,550,762,"1,711",44.5,777,"1,664",46.7,466,655,71.1,19,17,954,3.3,"2,220",-1,"2,190",75.5,229,598,224,200,621,32.2,390,335,714,"1,049",426,440
Howard (MEAC),MEAC,29,16-13,16,13,14.3,103,523,759,"1,726",44,718,"1,682",42.7,452,607,74.5,18,10,"1,066",-2.5,"2,019",6.8,"2,215",76.4,241,548,181,245,685,35.8,414,296,697,993,514,425
Idaho (Big Sky),Big Sky,31,9-22,9,22,11.9,69,607,780,"1,765",44.2,906,"1,887",48,455,619,73.5,19.6,12,"1,103",-1.4,"2,468",-6.6,"2,263",73,110,633,221,248,667,37.2,370,254,806,"1,060",325,422
Idaho St. (Big Sky),Big Sky,30,7-23,7,23,10.4,66,545,673,"1,608",41.9,766,"1,636",46.8,373,545,68.4,18.2,14,987,-0.2,"2,146",-7.2,"1,931",64.4,136,595,200,212,684,31,313,300,682,982,337,414
Illinois (Big Ten),Big Ten,33,23-10,23,10,15.2,99,538,863,"1,925",44.8,816,"1,977",41.3,435,616,70.6,16.3,7,"1,089",5.5,"2,218",7.2,"2,456",74.4,171,585,187,295,821,35.9,501,379,892,"1,271",351,408
Illinois St. (MVC),MVC,33,13-20,13,20,12.3,156,573,869,"1,926",45.1,876,"1,987",44.1,450,604,74.5,17.4,21,"1,150",0.4,"2,466",-0.6,"2,447",74.2,224,743,255,259,705,36.7,406,326,838,"1,164",408,455
Indiana (Big Ten),Big Ten,35,21-14,21,14,14.6,169,609,903,"1,988",45.4,793,"2,004",39.6,466,666,70,17.4,8,"1,178",2.5,"2,316",4.6,"2,478",70.8,197,803,265,206,619,33.3,511,319,948,"1,267",424,414
Indiana St. (MVC),MVC,31,11-20,11,20,13.1,60,472,776,"1,759",44.1,819,"1,865",43.9,362,465,77.8,15.2,14,"1,083",-0.9,"2,230",-1.5,"2,184",70.5,186,680,241,270,810,33.3,406,195,860,"1,055",353,408
Iona (MAAC),MAAC,33,25-8,25,8,16.2,199,601,872,"1,952",44.7,804,"1,934",41.6,504,727,69.3,18.2,6,"1,163",1.7,"2,264",6.6,"2,482",75.2,216,642,194,234,704,33.2,533,377,843,"1,220",443,418
Iowa (Big Ten),Big Ten,36,26-10,26,10,16,156,583,"1,071","2,322",46.1,949,"2,170",43.7,522,697,74.9,16.2,5,"1,293",1.4,"2,562",12,"2,995",83.2,264,788,259,331,912,36.3,577,430,913,"1,343",490,331
Iowa St. (Big 12),Big 12,35,22-13,22,13,14.7,109,639,849,"1,969",43.1,760,"1,790",42.5,364,533,68.3,18.3,17,"1,164",-0.9,"2,189",3.1,"2,296",65.6,299,681,197,234,742,31.5,513,337,796,"1,133",582,484
IUPUI (Horizon),Horizon,29,3-26,3,26,10.4,74,513,557,"1,467",38,666,"1,494",44.6,258,387,66.7,17.7,9,951,-1.3,"1,947",-14.7,"1,521",52.4,166,615,217,149,511,29.2,303,300,613,913,383,481
Jackson St. (SWAC),SWAC,30,11-19,11,19,10.9,117,513,693,"1,705",40.6,699,"1,625",43,286,451,63.4,17.1,11,"1,014",1.2,"1,963",-4.5,"1,827",60.9,188,482,156,155,515,30.1,327,335,714,"1,049",371,397
Jacksonville (ASUN),ASUN,31,21-10,21,10,12.5,60,467,768,"1,706",45,641,"1,617",39.6,358,506,70.8,15.1,5,901,7.4,"1,839",7.8,"2,081",67.1,203,729,215,187,539,34.7,387,337,794,"1,131",355,352
Jacksonville St. (ASUN),ASUN,32,21-11,21,11,14.3,92,459,838,"1,796",46.7,778,"1,901",40.9,380,554,68.6,14.3,5,"1,048",4,"2,151",6.3,"2,353",73.5,199,850,282,297,769,38.6,458,310,867,"1,177",379,419
James Madison (CAA),CAA,29,15-14,15,14,13.4,61,476,804,"1,737",46.3,763,"1,724",44.3,355,509,69.7,16.4,12,"1,043",-2.4,"2,123",1.9,"2,178",75.1,247,789,259,215,622,34.6,388,270,702,972,446,360
Kansas (Big 12),Big 12,40,34-6,34,6,15.3,172,637,"1,144","2,393",47.8,980,"2,411",40.6,555,774,71.7,15.9,3,"1,323",4.8,"2,690",11,"3,129",78.2,251,838,250,286,792,36.1,613,438,"1,077","1,515",507,484
Kansas City (Summit League),Summit League,31,19-12,19,12,13.3,86,625,855,"1,788",47.8,703,"1,595",44.1,376,556,67.6,20.2,18,"1,030",-1.9,"2,085",7.3,"2,311",74.5,230,563,179,225,618,36.4,412,241,730,971,485,326
Kansas St. (Big 12),Big 12,31,14-17,14,17,12.5,51,530,748,"1,780",42,749,"1,724",43.4,382,526,72.6,17.1,6,"1,112",-2.6,"2,091",1.5,"2,139",69,227,693,209,261,754,34.6,386,275,755,"1,030",417,356
Kennesaw St. (ASUN),ASUN,31,13-18,13,18,14.4,86,530,850,"1,836",46.3,773,"1,750",44.2,361,545,66.2,17.1,8,"1,028",2.4,"2,206",3.6,"2,319",74.8,221,710,256,258,706,36.5,446,332,770,"1,102",420,382
Kent St. (MAC),MAC,34,23-11,23,11,12.4,117,616,852,"1,932",44.1,755,"1,833",41.2,462,619,74.6,18.1,14,"1,079",4.1,"2,217",6.1,"2,423",71.3,242,803,251,257,772,33.3,423,353,867,"1,220",458,416
Kentucky (SEC),SEC,34,26-8,26,8,16.2,144,487,"1,030","2,134",48.3,835,"2,018",41.4,434,598,72.6,14.3,3,"1,034",9.7,"2,263",12.9,"2,701",79.4,232,723,223,207,596,34.7,550,440,924,"1,364",415,395
La Salle (Atlantic 10),Atlantic 10,30,11-19,11,19,13.4,128,517,743,"1,796",41.4,764,"1,762",43.4,310,451,68.7,17.2,12,"1,092",0,"2,146",-4,"2,025",67.5,177,645,232,229,717,31.9,401,325,768,"1,093",349,384
Lafayette (Patriot),Patriot,30,10-20,10,20,16.2,101,432,757,"1,750",43.3,814,"1,763",46.2,257,376,68.4,14.4,4,"1,121",-5.4,"2,185",-5,"2,034",67.8,188,642,238,263,802,32.8,485,244,715,959,346,333
Lamar University (WAC),WAC,29,2-27,2,27,11.1,86,545,664,"1,655",40.1,722,"1,621",44.5,298,433,68.8,18.8,13,"1,050",-1.3,"2,116",-11.7,"1,778",61.3,169,680,236,152,508,29.9,321,323,689,"1,012",348,424
Lehigh (Patriot),Patriot,32,13-19,13,19,14.2,114,540,796,"1,782",44.7,839,"1,899",44.2,338,456,74.1,16.9,4,"1,122",-1.7,"2,284",-2.9,"2,190",68.4,141,490,174,260,681,38.2,453,228,840,"1,068",325,427
Liberty (ASUN),ASUN,33,22-11,22,11,14.7,63,495,851,"1,801",47.3,729,"1,809",40.3,378,500,75.6,15,6,"1,036",2.9,"2,094",9.9,"2,421",73.4,178,736,240,341,892,38.2,486,234,897,"1,131",383,383
Lipscomb (ASUN),ASUN,33,14-19,14,19,15.2,90,444,850,"1,860",45.7,932,"2,150",43.3,475,652,72.9,13.5,3,"1,194",-0.2,"2,536",-2.8,"2,442",74,146,878,322,267,776,34.4,502,252,934,"1,186",337,437
Little Rock (Sun Belt),Sun Belt,28,9-19,9,19,13,60,469,651,"1,544",42.2,743,"1,578",47.1,369,502,73.5,16.8,14,982,-3.6,"2,047",-6.4,"1,868",66.7,195,621,231,197,585,33.7,364,240,640,880,406,388
LIU (NEC),NEC,30,16-14,16,14,16.9,147,508,812,"1,897",42.8,777,"1,884",41.2,383,563,68,16.9,10,"1,155",1,"2,204",1.4,"2,245",74.8,231,785,248,238,758,31.4,508,354,830,"1,184",411,408
LMU (CA) (WCC),CA,29,11-18,11,18,11.1,50,515,718,"1,580",45.4,770,"1,605",48,364,506,71.9,17.8,13,938,-2.7,"2,148",-4.8,"2,010",69.3,158,591,213,210,609,34.5,323,229,632,861,366,385
Long Beach St. (Big West),Big West,33,20-13,20,13,12.5,102,542,841,"1,926",43.7,872,"1,961",44.5,542,743,72.9,16.4,7,"1,144",0.6,"2,409",0.8,"2,437",73.8,232,771,266,213,615,34.6,411,326,839,"1,165",478,437
Longwood (Big South),Big South,33,26-7,26,7,14.5,77,508,873,"1,938",45,788,"1,818",43.3,485,667,72.7,15.4,7,"1,003",6.7,"2,169",10,"2,500",75.8,259,789,252,269,713,37.7,477,403,821,"1,224",470,407
Louisiana (Sun Belt),Sun Belt,31,16-15,16,15,12.5,136,555,766,"1,792",42.7,747,"1,823",41,443,630,70.3,17.9,8,"1,053",4.9,"2,151",1.7,"2,203",71.1,212,602,194,228,658,34.7,386,371,834,"1,205",405,475
Louisiana Tech (C-USA),C-USA,34,24-10,24,10,13.7,73,497,911,"2,001",45.5,830,"2,010",41.3,455,628,72.5,14.6,8,"1,215",0.4,"2,312",7.2,"2,558",75.2,221,784,260,281,826,34,465,315,914,"1,229",463,392
Louisville (ACC),ACC,32,13-19,13,19,11.9,77,549,795,"1,882",42.2,805,"1,842",43.7,318,472,67.4,17.2,4,"1,130",1.2,"2,243",-2.8,"2,154",67.3,196,702,245,246,795,30.9,382,319,848,"1,167",354,391
